,DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,AGRUPA EDAD PERSONA,CANTIDAD
0,ANTIOQUIA,BARBOSA,5079000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADULTOS,1
1,ANTIOQUIA,ITAGUI,5360000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADULTOS,1
2,ANTIOQUIA,ITUANGO,5361000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
3,ANTIOQUIA,LA CEJA,5376000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADULTOS,1
4,ANTIOQUIA,MACEO,5425000,ARMA DE FUEGO,2020-01-01,FEMENINO,ADULTOS,1
5,ANTIOQUIA,TARAZÁ,5790000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
6,ANTIOQUIA,URRAO,5847000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
7,ARAUCA,ARAUQUITA,81065000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADULTOS,1
8,BOLÍVAR,ARJONA,13052000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADULTOS,1
9,BOLÍVAR,ARJONA,13052000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
10,BOLÍVAR,CARTAGENA (CT),13001000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
11,BOLÍVAR,CARTAGENA (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADULTOS,1
12,BOLÍVAR,CARTAGENA (CT),13001000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
13,BOLÍVAR,MAGANGUÉ,13430000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADULTOS,1
14,BOLÍVAR,SAN JACINTO,13654000,CONTUNDENTES,2020-01-01,MASCULINO,ADULTOS,1
15,BOLÍVAR,SAN MARTÍN DE LOBA,13667000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADULTOS,1
16,BOLÍVAR,TURBACO,13836000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
17,BOYACÁ,PUERTO BOYACÁ,15572000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
18,BOYACÁ,TUNJA (CT),15001000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADULTOS,1
19,CALDAS,SUPÍA,17777000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADULTOS,1
20,CASANARE,VILLANUEVA,85440000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADOLESCENTES,1
21,CAUCA,ALMAGUER,19022000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
22,CAUCA,ALMAGUER,19022000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
23,CAUCA,ARGELIA,19050000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
24,CAUCA,BALBOA,19075000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADULTOS,1
25,CAUCA,EL TAMBO,19256000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
26,CAUCA,EL TAMBO,19256000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
27,CAUCA,GUAPI,19318000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
28,CAUCA,GUAPI,19318000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
29,CESAR,LA JAGUA DE IBIRICO,20400000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,MASCULINO,ADULTOS,1
30,CÓRDOBA,CERETÉ,23162000,ARMA BLANCA / CORTOPUNZANTE,2020-01-01,FEMENINO,ADULTOS,1
31,CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,2020-01-01,MASCULINO,ADULTOS,1
